rep,id,k1,k2,A0,peak
75,3,0.346238,0.00906779,0.112042,69.039
76,3,0.386298,0.00906779,0.112042,69.039
77,3,0.363059,0.00824597,0.0877722,67.6617
78,3,0.407154,0.00779551,0.0808396,69.4645
79,3,0.407154,0.00779551,0.0808396,69.4645
80,3,0.313684,0.00803219,0.118877,73.0302
81,3,0.35458,0.00596651,0.129236,65.9712
82,3,0.345699,0.00831787,0.116209,71.1422
83,3,0.479755,0.00749414,0.0957748,69.769
84,3,0.456525,0.00647782,0.143579,72.0658
85,3,0.438041,0.00647782,0.104182,69.1521
86,3,0.342132,0.00791422,0.119524,69.1521
87,3,0.331872,0.00890066,0.0744653,68.2279
88,3,0.354481,0.00870115,0.079914,73.0201
89,3,0.371185,0.00848638,0.121905,70.6584
90,3,0.371185,0.00848638,0.105747,70.6584
91,3,0.373723,0.00609911,0.123971,66.5736
92,3,0.338723,0.0069725,0.0843974,68.0725
93,3,0.383876,0.0111083,0.15459,69.7806
94,3,0.383876,0.00531859,0.102061,66.3933
1,4,0.342499,0.00760241,0.0701224,69.5325
2,4,0.367385,0.00809309,0.0434273,68.7487
3,4,0.367504,0.00789676,0.0453048,69.3524
4,4,0.346034,0.00681149,0.0824244,70.726
5,4,0.428241,0.0076376,0.0907396,68.3504
6,4,0.415031,0.00755319,0.058992,67.0263
7,4,0.415031,0.00755319,0.058992,70.9822
8,4,0.37257,0.00709908,0.0488397,69.2986
9,4,0.375691,0.00730244,0.0817651,70.2979
10,4,0.401357,0.00713351,0.0661944,70.7986
11,4,0.365722,0.00732274,0.0668275,71.1105
12,4,0.365345,0.00759855,0.0668275,73.3678
13,4,0.366689,0.0088482,0.0668275,66.6495
14,4,0.421954,0.00571759,0.0397383,68.6463
15,4,0.40106,0.00833451,0.0597573,63.7468
16,4,0.373941,0.00871454,0.0716503,65.3129
17,4,0.475775,0.00790859,0.0425273,66.4964
18,4,0.462813,0.00504771,0.092968,73.4574
19,4,0.33224,0.00670239,0.0656988,71.3954
20,4,0.45394,0.00645315,0.070862,68.1008
21,4,0.326858,0.00703528,0.0800379,66.4284
22,4,0.410071,0.00731719,0.0732782,66.4284
23,4,0.310663,0.00378207,0.0824385,74.479
24,4,0.440777,0.00912241,0.0548191,69.5501
25,4,0.449187,0.00856402,0.0679891,67.8259
26,4,0.391698,0.00828752,0.0679891,70.9935
27,4,0.405736,0.00700239,0.0747082,67.9825
28,4,0.423623,0.00761823,0.0642226,69.3916
29,4,0.379496,0.00705592,0.0474046,72.2031
30,4,0.440203,0.00742751,0.0902345,72.295
31,4,0.513664,0.0055666,0.0566271,70.625
32,4,0.481334,0.00529829,0.0566271,70.625
33,4,0.3184,0.00580646,0.122797,69.9942
