rep,id,k1,k2,A0,peak,Vaccine_Group
47,2,0.648938,0.000552717,0.00840685,67.1963,1ug Pfizer
48,2,0.570971,7.66361e-05,0.0182102,66.1288,1ug Pfizer
49,2,0.621773,0.000359149,0.00840685,66.9829,1ug Pfizer
50,2,0.617656,0.000339454,0.00669125,67.164,1ug Pfizer
51,2,0.592627,4.48261e-05,0.0163583,66.9317,1ug Pfizer
52,2,0.661019,6.30137e-05,0.0109551,67.3399,1ug Pfizer
53,2,0.601162,0.000104678,0.0103244,67.0487,1ug Pfizer
54,2,0.648987,0.000223738,0.00936936,67.0275,1ug Pfizer
55,2,0.683488,6.44818e-05,0.00645745,66.6748,1ug Pfizer
56,2,0.644862,0.000177886,0.00868706,67.2192,1ug Pfizer
57,2,0.659235,0.000269421,0.00487018,66.0294,1ug Pfizer
58,2,0.644862,4.26511e-05,0.00617628,67.8356,1ug Pfizer
59,2,0.665741,0.000142517,0.00452792,66.0294,1ug Pfizer
60,2,0.64266,8.54745e-05,0.0078968,67.3555,1ug Pfizer
61,2,0.665741,2.40593e-05,0.00373234,67.5292,1ug Pfizer
62,2,0.63807,0.000301948,0.00830205,66.7074,1ug Pfizer
63,2,0.62234,0.000175217,0.0100603,67.4258,1ug Pfizer
64,2,0.617253,6.91497e-05,0.00999337,67.1682,1ug Pfizer
65,2,0.654112,8.96155e-05,0.0089185,67.5402,1ug Pfizer
66,2,0.585007,7.21779e-05,0.0112297,66.5545,1ug Pfizer
67,2,0.619612,0.000183816,0.0134386,67.5493,1ug Pfizer
68,2,0.688775,7.17718e-05,0.00478466,67.8888,1ug Pfizer
69,2,0.579115,6.5898e-05,0.0168731,68.042,1ug Pfizer
70,2,0.688775,2.4605e-05,0.00478466,67.1846,1ug Pfizer
71,2,0.70926,0.00041138,0.00806984,67.1567,1ug Pfizer
72,2,0.59627,5.65508e-05,0.0162863,67.4246,1ug Pfizer
73,2,0.681929,0.00026457,0.00806984,66.0996,1ug Pfizer
74,2,0.59627,6.99807e-05,0.0162863,66.3603,1ug Pfizer
75,2,0.639049,0.000126367,0.00836387,66.8487,1ug Pfizer
76,2,0.605865,0.000184322,0.0109273,66.6817,1ug Pfizer
77,2,0.647491,0.000239883,0.00679078,66.4724,1ug Pfizer
78,2,0.643804,0.000116523,0.00782477,67.0302,1ug Pfizer
79,2,0.623301,0.000152307,0.0103187,67.6033,1ug Pfizer
80,2,0.647229,0.000149017,0.00527337,66.6584,1ug Pfizer
81,2,0.641184,0.000252642,0.0094557,67.0634,1ug Pfizer
82,2,0.640389,4.5575e-05,0.0080191,67.7321,1ug Pfizer
83,2,0.609839,0.000353199,0.0154958,66.6267,1ug Pfizer
84,2,0.598211,0.000164669,0.0112767,67.3452,1ug Pfizer
85,2,0.66026,9.96997e-05,0.00848404,67.1254,1ug Pfizer
86,2,0.598211,0.000121566,0.0114182,67.0468,1ug Pfizer
87,2,0.64559,9.59828e-05,0.00848404,68.0155,1ug Pfizer
88,2,0.63432,6.1597e-05,0.00719805,66.9388,1ug Pfizer
89,2,0.662173,0.000153321,0.00676418,66.8753,1ug Pfizer
90,2,0.615717,8.82011e-05,0.00889972,66.0955,1ug Pfizer
91,2,0.615447,0.000110807,0.0108508,66.3468,1ug Pfizer
92,2,0.610672,0.000170021,0.0109492,66.8694,1ug Pfizer
93,2,0.623341,0.000186923,0.0103322,66.3468,1ug Pfizer
94,2,0.58152,0.000379347,0.0159532,67.0419,1ug Pfizer
95,2,0.610971,4.3467e-05,0.0102745,66.5774,1ug Pfizer
96,2,0.638233,0.000217419,0.00620258,67.1251,1ug Pfizer
97,2,0.610971,4.3467e-05,0.0102745,67.15,1ug Pfizer
98,2,0.627069,0.000145907,0.00838995,66.3019,1ug Pfizer
99,2,0.612895,5.23602e-05,0.00937761,67.1433,1ug Pfizer
100,2,0.615245,9.35424e-05,0.0109482,67.7345,1ug Pfizer
1,3,0.5464,0.000108161,0.00673166,67.5479,1ug Pfizer
2,3,0.618047,0.000424712,0.00510873,66.1676,1ug Pfizer
3,3,0.6663,0.000191471,0.0036954,67.328,1ug Pfizer
4,3,0.605962,0.00084447,0.00759742,66.2623,1ug Pfizer
5,3,0.621778,0.000227631,0.00670117,66.3826,1ug Pfizer
6,3,0.558649,0.0003254,0.00776705,66.845,1ug Pfizer
7,3,0.54922,0.000532561,0.00989973,66.9339,1ug Pfizer
8,3,0.602717,6.87115e-05,0.00572249,67.1597,1ug Pfizer
9,3,0.597184,0.000141713,0.00472635,65.9362,1ug Pfizer
10,3,0.594735,9.05513e-05,0.00840065,66.881,1ug Pfizer
11,3,0.577906,5.38685e-05,0.0112796,67.4515,1ug Pfizer
12,3,0.588251,0.000129754,0.00509352,66.1463,1ug Pfizer
13,3,0.63827,5.43805e-05,0.00547162,67.6247,1ug Pfizer
14,3,0.604173,0.000378603,0.010615,67.1208,1ug Pfizer
15,3,0.556201,0.000213668,0.00780226,66.7471,1ug Pfizer
16,3,0.626534,0.000126314,0.00541512,67.7368,1ug Pfizer
17,3,0.542825,0.000143908,0.0149474,66.8757,1ug Pfizer
18,3,0.64851,3.64114e-05,0.00426196,68.3686,1ug Pfizer
19,3,0.575188,0.000112461,0.0114133,66.6464,1ug Pfizer
20,3,0.554927,3.10598e-05,0.00908762,67.2271,1ug Pfizer
21,3,0.556176,4.00755e-05,0.00687219,67.6133,1ug Pfizer
22,3,0.591078,0.000103087,0.00687153,67.2304,1ug Pfizer
23,3,0.646747,3.49724e-05,0.00469195,66.4279,1ug Pfizer
24,3,0.572086,0.000369085,0.0119819,67.9767,1ug Pfizer
25,3,0.573876,0.000197938,0.00597261,67.1948,1ug Pfizer
26,3,0.599857,0.000106739,0.00532442,66.5231,1ug Pfizer
27,3,0.615144,0.000302849,0.00706767,67.1369,1ug Pfizer
28,3,0.613512,0.000122675,0.00392344,67.1014,1ug Pfizer
29,3,0.565105,0.000155334,0.0119675,67.0127,1ug Pfizer
30,3,0.606374,0.000300633,0.00460782,67.4447,1ug Pfizer
31,3,0.594193,0.000155876,0.00573716,67.1774,1ug Pfizer
32,3,0.596356,0.00050724,0.00944632,67.4197,1ug Pfizer
33,3,0.578279,0.000175123,0.00710934,67.6503,1ug Pfizer
34,3,0.620427,0.000265885,0.00522652,66.9881,1ug Pfizer
35,3,0.599764,0.000351136,0.00904267,68.0257,1ug Pfizer
36,3,0.645636,9.07439e-05,0.00357964,67.5107,1ug Pfizer
37,3,0.599764,0.00023762,0.00904267,67.3167,1ug Pfizer
38,3,0.645636,7.46084e-05,0.00357964,67.2971,1ug Pfizer
39,3,0.536618,0.000295313,0.00746966,67.0765,1ug Pfizer
40,3,0.614775,0.000373009,0.00473932,67.2971,1ug Pfizer
41,3,0.590517,0.000136362,0.00745656,67.5117,1ug Pfizer
42,3,0.614775,0.000191595,0.00440497,67.4452,1ug Pfizer
43,3,0.633827,0.000147528,0.00720502,67.2864,1ug Pfizer
44,3,0.626655,8.27045e-05,0.00440497,67.4452,1ug Pfizer
45,3,0.596846,0.000160375,0.010384,67.5365,1ug Pfizer
46,3,0.590714,0.000221526,0.00691351,66.1921,1ug Pfizer
47,3,0.590338,0.000118576,0.00717129,67.5593,1ug Pfizer
48,3,0.637795,0.000391843,0.00387944,68.1919,1ug Pfizer
49,3,0.558322,7.01426e-05,0.00933105,67.1059,1ug Pfizer
50,3,0.551962,0.000100789,0.0153626,67.013,1ug Pfizer
51,3,0.556184,0.000412985,0.0146163,67.3079,1ug Pfizer
52,3,0.548204,0.000151422,0.0114166,67.4174,1ug Pfizer
53,3,0.611808,0.000143382,0.00611295,67.8289,1ug Pfizer
54,3,0.586665,0.000172633,0.00643529,67.2131,1ug Pfizer
55,3,0.604701,0.000310317,0.00611295,67.6629,1ug Pfizer
56,3,0.620369,0.000143889,0.00445676,68.2649,1ug Pfizer
57,3,0.576526,0.000116104,0.00562129,66.6014,1ug Pfizer
58,3,0.603882,0.00011927,0.00898014,65.8606,1ug Pfizer
59,3,0.620884,0.00015325,0.00585697,66.9731,1ug Pfizer
60,3,0.585737,0.000235516,0.0105596,67.5351,1ug Pfizer
61,3,0.542819,0.00015325,0.00658717,67.0848,1ug Pfizer
62,3,0.588838,0.000106849,0.00653952,67.9351,1ug Pfizer
63,3,0.523267,0.000462245,0.0174835,67.7196,1ug Pfizer
64,3,0.60888,0.000100471,0.00714239,67.676,1ug Pfizer
65,3,0.567394,0.000147201,0.0126075,66.6883,1ug Pfizer
66,3,0.576188,0.000234084,0.00718933,66.9555,1ug Pfizer
67,3,0.624422,0.000148817,0.00468001,67.5361,1ug Pfizer
68,3,0.592652,4.40291e-05,0.00669505,67.2446,1ug Pfizer
69,3,0.618265,0.000148817,0.00452195,67.5361,1ug Pfizer
